Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
000000352,000001EE,false,0,2,00,FC,00,00,00,00,00,00
000000353,00000100,false,0,8,EA,F1,7F,C0,5D,66,87,70
000000354,000002A7,false,0,5,5C,F5,FE,FF,14,00,00,00
000000355,000007BD,false,0,8,00,00,00,C0,FF,C0,01,00
000000356,000007BE,false,0,8,07,04,00,62,06,67,00,00
000000357,00000201,false,0,8,BA,4B,BA,4B,FF,FF,FF,FF
000000358,000003B4,false,0,8,00,FF,30,F0,98,FF,00,00
000000359,0000015F,false,0,8,CD,F9,00,7D,00,EE,00,7D
000000360,00000112,false,0,8,FA,1F,C6,0E,3A,72,85,5F
000000361,00000397,false,0,7,00,2A,00,57,14,77,01,00
000000362,00000197,false,0,4,8C,06,0E,C0,00,00,00,00
000000363,000002C4,false,0,8,00,00,FF,00,C8,64,FF,CF
000000364,000000A5,false,0,8,81,FA,FF,F7,7F,00,00,C1
000000365,000000AC,false,0,2,00,F0,00,00,00,00,00,00
000000366,000000D9,false,0,8,25,FA,00,10,00,F0,7F,C8
000000367,000000F3,false,0,8,E3,0A,00,FF,F0,C0,FF,FF
000000368,00000100,false,0,8,0D,F2,7F,C0,5D,66,87,70
000000369,00000199,false,0,6,FF,FF,B9,7E,FF,3F,00,00
000000370,0000019A,false,0,6,FF,FF,8B,7E,FF,3F,00,00
000000371,0000019F,false,0,6,FF,FF,F9,7F,FF,2F,00,00
000000372,00000254,false,0,8,FF,7F,FF,7F,FF,7F,FF,7F
000000373,00000258,false,0,2,44,44,00,00,00,00,00,00
000000374,00000201,false,0,8,BD,4B,BD,4B,FF,FF,FF,FF
000000375,000000EF,false,0,8,3A,F9,00,7D,21,FE,7C,FF
000000376,000001A1,false,0,5,C6,C8,00,00,8A,00,00,00
000000377,0000003C,false,0,8,FF,5F,00,00,00,00,FF,FF
000000378,00000112,false,0,8,FA,1F,C6,0E,3A,72,85,5F
000000379,000002F5,false,0,8,71,0F,60,29,22,0A,06,10
000000380,00000328,false,0,6,CE,DF,2E,0B,86,1E,00,00
000000381,00000302,false,0,7,FF,FF,FF,7F,FC,FF,FF,00
000000382,00000100,false,0,8,50,F3,7F,C0,5D,66,87,70
000000383,0000015F,false,0,8,2A,FA,00,7D,00,EE,00,7D
000000384,00000348,false,0,8,E7,00,0A,7F,FE,DB,DF,11
000000385,0000012F,false,0,8,0E,2D,86,1C,F1,35,30,00
000000386,00000112,false,0,8,FA,1F,C6,0E,3A,72,85,5F
000000387,00000314,false,0,3,11,02,FF,00,00,00,00,00
000000388,00000350,false,0,4,F3,FF,FF,FF,FF,FF,FF,FE
